"subject" "activity" "mean" "instrument" "signal" "signal_type" "jerk" "calc" "statistic" "axis"
1 "laying" 0.22159824394 "accelerometer" "time" "body" NA NA "mean" NA
1 "laying" -0.0405139534294 "accelerometer" "time" "body" NA NA "mean" NA
1 "laying" -0.11320355358 "accelerometer" "time" "body" NA NA "mean" NA
1 "laying" -0.24888179828 "accelerometer" "time" "gravity" NA NA "mean" NA
1 "laying" 0.70554977346 "accelerometer" "time" "gravity" NA NA "mean" NA
1 "laying" 0.4458177198 "accelerometer" "time" "gravity" NA NA "mean" NA
1 "laying" 0.0810865342 "accelerometer" "time" "body" "jerk" NA "mean" NA
1 "laying" 0.0038382040088 "accelerometer" "time" "body" "jerk" NA "mean" NA
1 "laying" 0.010834236361 "accelerometer" "time" "body" "jerk" NA "mean" NA
1 "laying" -0.016553093978 "gyroscope" "time" "body" NA NA "mean" NA
1 "laying" -0.064486124088 "gyroscope" "time" "body" NA NA "mean" NA
1 "laying" 0.14868943626 "gyroscope" "time" "body" NA NA "mean" NA
1 "laying" -0.107270949192 "gyroscope" "time" "body" "jerk" NA "mean" NA
1 "laying" -0.04151728689 "gyroscope" "time" "body" "jerk" NA "mean" NA
1 "laying" -0.0740501211 "gyroscope" "time" "body" "jerk" NA "mean" NA
1 "laying" -0.8419291525 "accelerometer" "time" "body" NA "magnitude" "mean" NA
1 "laying" -0.8419291525 "accelerometer" "time" "gravity" NA "magnitude" "mean" NA
1 "laying" -0.9543962646 "accelerometer" "time" "body" "jerk" "magnitude" "mean" NA
1 "laying" -0.874759548 "gyroscope" "time" "body" NA "magnitude" "mean" NA
1 "laying" -0.96346103 "gyroscope" "time" "body" "jerk" "magnitude" "mean" NA
1 "laying" -0.9390990524 "accelerometer" "frequency" "body" NA NA "mean" NA
1 "laying" -0.86706520518 "accelerometer" "frequency" "body" NA NA "mean" NA
1 "laying" -0.8826668762 "accelerometer" "frequency" "body" NA NA "mean" NA
1 "laying" -0.158792670508 "accelerometer" "frequency" "body" NA NA "mean frequency" NA
1 "laying" 0.097534841586 "accelerometer" "frequency" "body" NA NA "mean frequency" NA
1 "laying" 0.08943765522 "accelerometer" "frequency" "body" NA NA "mean frequency" NA
1 "laying" -0.9570738838 "accelerometer" "frequency" "body" "jerk" NA "mean" NA
1 "laying" -0.9224626098 "accelerometer" "frequency" "body" "jerk" NA "mean" NA
1 "laying" -0.9480609042 "accelerometer" "frequency" "body" "jerk" NA "mean" NA
1 "laying" 0.132419092398 "accelerometer" "frequency" "body" "jerk" NA "mean frequency" NA
1 "laying" 0.024513618956 "accelerometer" "frequency" "body" "jerk" NA "mean frequency" NA
1 "laying" 0.02438794528 "accelerometer" "frequency" "body" "jerk" NA "mean frequency" NA
1 "laying" -0.850249174586 "gyroscope" "frequency" "body" NA NA "mean" NA
1 "laying" -0.9521914948 "gyroscope" "frequency" "body" NA NA "mean" NA
1 "laying" -0.909302721 "gyroscope" "frequency" "body" NA NA "mean" NA
1 "laying" -0.003546795856 "gyroscope" "frequency" "body" NA NA "mean frequency" NA
1 "laying" -0.091529130882 "gyroscope" "frequency" "body" NA NA "mean frequency" NA
1 "laying" 0.01045812566 "gyroscope" "frequency" "body" NA NA "mean frequency" NA
1 "laying" -0.8617676481 "accelerometer" "frequency" "body" NA "magnitude" "mean" NA
1 "laying" 0.08640856294 "accelerometer" "frequency" "body" NA "magnitude" "mean frequency" NA
1 "laying" -0.9333003608 "accelerometer" "frequency" "body" "jerk" "magnitude" "mean" NA
1 "laying" 0.26639115416 "accelerometer" "frequency" "body" "jerk" "magnitude" "mean frequency" NA
1 "laying" -0.8621901854 "gyroscope" "frequency" "body" NA "magnitude" "mean" NA
1 "laying" -0.1397750127 "gyroscope" "frequency" "body" NA "magnitude" "mean frequency" NA
1 "laying" -0.9423669466 "gyroscope" "frequency" "body" "jerk" "magnitude" "mean" NA
1 "laying" 0.17648590708 "gyroscope" "frequency" "body" "jerk" "magnitude" "mean frequency" NA
1 "laying" -0.9280564692 "accelerometer" "time" "body" NA NA "std dev" NA
1 "laying" -0.83682740562 "accelerometer" "time" "body" NA NA "std dev" NA
1 "laying" -0.826061401628 "accelerometer" "time" "body" NA NA "std dev" NA
1 "laying" -0.8968300184 "accelerometer" "time" "gravity" NA NA "std dev" NA
1 "laying" -0.90772000676 "accelerometer" "time" "gravity" NA NA "std dev" NA
1 "laying" -0.85236629022 "accelerometer" "time" "gravity" NA NA "std dev" NA
1 "laying" -0.958482112 "accelerometer" "time" "body" "jerk" NA "std dev" NA
1 "laying" -0.9241492736 "accelerometer" "time" "body" "jerk" NA "std dev" NA
1 "laying" -0.9548551108 "accelerometer" "time" "body" "jerk" NA "std dev" NA
1 "laying" -0.87354386782 "gyroscope" "time" "body" NA NA "std dev" NA
1 "laying" -0.9510904402 "gyroscope" "time" "body" NA NA "std dev" NA
1 "laying" -0.9082846626 "gyroscope" "time" "body" NA NA "std dev" NA
1 "laying" -0.9186085208 "gyroscope" "time" "body" "jerk" NA "std dev" NA
1 "laying" -0.9679072436 "gyroscope" "time" "body" "jerk" NA "std dev" NA
1 "laying" -0.9577901596 "gyroscope" "time" "body" "jerk" NA "std dev" NA
1 "laying" -0.79514486386 "accelerometer" "time" "body" NA "magnitude" "std dev" NA
1 "laying" -0.79514486386 "accelerometer" "time" "gravity" NA "magnitude" "std dev" NA
1 "laying" -0.9282456284 "accelerometer" "time" "body" "jerk" "magnitude" "std dev" NA
1 "laying" -0.81901016976 "gyroscope" "time" "body" NA "magnitude" "std dev" NA
1 "laying" -0.9358409828 "gyroscope" "time" "body" "jerk" "magnitude" "std dev" NA
1 "laying" -0.9244374346 "accelerometer" "frequency" "body" NA NA "std dev" NA
1 "laying" -0.8336255561 "accelerometer" "frequency" "body" NA NA "std dev" NA
1 "laying" -0.81289155944 "accelerometer" "frequency" "body" NA NA "std dev" NA
1 "laying" -0.9641607086 "accelerometer" "frequency" "body" "jerk" NA "std dev" NA
1 "laying" -0.9322178704 "accelerometer" "frequency" "body" "jerk" NA "std dev" NA
1 "laying" -0.9605869872 "accelerometer" "frequency" "body" "jerk" NA "std dev" NA
1 "laying" -0.8822964508 "gyroscope" "frequency" "body" NA NA "std dev" NA
1 "laying" -0.9512320494 "gyroscope" "frequency" "body" NA NA "std dev" NA
1 "laying" -0.9165825082 "gyroscope" "frequency" "body" NA NA "std dev" NA
1 "laying" -0.7983009404 "accelerometer" "frequency" "body" NA "magnitude" "std dev" NA
1 "laying" -0.9218039756 "accelerometer" "frequency" "body" "jerk" "magnitude" "std dev" NA
1 "laying" -0.82431943968 "gyroscope" "frequency" "body" NA "magnitude" "std dev" NA
1 "laying" -0.9326606676 "gyroscope" "frequency" "body" "jerk" "magnitude" "std dev" NA
1 "sitting" 0.261237565425532 "accelerometer" "time" "body" NA NA "mean" NA
1 "sitting" -0.00130828765170213 "accelerometer" "time" "body" NA NA "mean" NA
1 "sitting" -0.104544182255319 "accelerometer" "time" "body" NA NA "mean" NA
1 "sitting" 0.831509933404255 "accelerometer" "time" "gravity" NA NA "mean" NA
1 "sitting" 0.204411592680851 "accelerometer" "time" "gravity" NA NA "mean" NA
1 "sitting" 0.332043702765957 "accelerometer" "time" "gravity" NA NA "mean" NA
1 "sitting" 0.0774825199574468 "accelerometer" "time" "body" "jerk" NA "mean" NA
1 "sitting" -0.000619102785106384 "accelerometer" "time" "body" "jerk" NA "mean" NA
1 "sitting" -0.00336779235021277 "accelerometer" "time" "body" "jerk" NA "mean" NA
1 "sitting" -0.045350056512766 "gyroscope" "time" "body" NA NA "mean" NA
1 "sitting" -0.0919241549361702 "gyroscope" "time" "body" NA NA "mean" NA
1 "sitting" 0.0629313811914894 "gyroscope" "time" "body" NA NA "mean" NA
1 "sitting" -0.0936793807234043 "gyroscope" "time" "body" "jerk" NA "mean" NA
1 "sitting" -0.0402118124255319 "gyroscope" "time" "body" "jerk" NA "mean" NA
1 "sitting" -0.046702627 "gyroscope" "time" "body" "jerk" NA "mean" NA
1 "sitting" -0.948536786170213 "accelerometer" "time" "body" NA "magnitude" "mean" NA
1 "sitting" -0.948536786170213 "accelerometer" "time" "gravity" NA "magnitude" "mean" NA
1 "sitting" -0.987364195531915 "accelerometer" "time" "body" "jerk" "magnitude" "mean" NA
1 "sitting" -0.93089249 "gyroscope" "time" "body" NA "magnitude" "mean" NA
1 "sitting" -0.991976341276596 "gyroscope" "time" "body" "jerk" "magnitude" "mean" NA
1 "sitting" -0.979641238723404 "accelerometer" "frequency" "body" NA NA "mean" NA
1 "sitting" -0.944084550425532 "accelerometer" "frequency" "body" NA NA "mean" NA
1 "sitting" -0.959184889148936 "accelerometer" "frequency" "body" NA NA "mean" NA
